FSMTFileList,v,0,1
CD/COM/ITEM.T/80,Raw,Model,Crystal Shard Model
CD/COM/ITEM.T/81,Raw,Model,"A" Ring Model
CD/COM/ITEM.T/82,Raw,Model,Elf's Key Model
CD/COM/ITEM.T/83,Raw,Model,Pirate's Key Model
CD/COM/ITEM.T/84,Raw,Model,Skull Key Model
CD/COM/ITEM.T/85,Raw,Model,Jail Key Model
CD/COM/ITEM.T/86,Raw,Model,Rhombus Key Model
CD/COM/ITEM.T/87,Raw,Model,Harvine's Key Model
CD/COM/ITEM.T/88,Raw,Model,Dragon Stone Model
CD/COM/ITEM.T/89,Raw,Model,Magician's Key Model
CD/COM/ITEM.T/90,Raw,Model,Silver Key Model
CD/COM/ITEM.T/91,Raw,Model,Gold Key Model
CD/COM/ITEM.T/92,Raw,Model,Shrine Key Model
CD/COM/ITEM.T/93,Raw,Model,"A" Herb Model
CD/COM/ITEM.T/94,Raw,Model,Moon Gate Model
CD/COM/ITEM.T/95,Raw,Model,Star Gate Model
CD/COM/ITEM.T/96,Raw,Model,Sun Gate Model
CD/COM/ITEM.T/97,Raw,Model,Moon Key Model
CD/COM/ITEM.T/98,Raw,Model,Star Key Model
CD/COM/ITEM.T/99,Raw,Model,Sun Key Model
CD/COM/ITEM.T/100,Raw,Model,Arrow For The Bow Model
CD/COM/ITEM.T/101,Raw,Model,Elf's Bolt Model
CD/COM/ITEM.T/102,Raw,Model,"A" Herb 2 Model
CD/COM/ITEM.T/103,Raw,TextureDB,Text: Al Hunt
CD/COM/ITEM.T/104,Raw,TextureDB,Text: Nola Bagil
CD/COM/ITEM.T/105,Raw,TextureDB,Text: Mark Wozz
CD/COM/ITEM.T/106,Raw,TextureDB,Text: Rand Ferrer
CD/COM/ITEM.T/107,Raw,TextureDB,Text: Radd Bilheim
CD/COM/ITEM.T/108,Raw,TextureDB,Text: Kehl Hunt
CD/COM/ITEM.T/109,Raw,TextureDB,Text: Krola Sandler Amgun
CD/COM/ITEM.T/110,Raw,TextureDB,Text: Cliff Lore
CD/COM/ITEM.T/111,Raw,TextureDB,Text: David Tabler
CD/COM/ITEM.T/112,Raw,TextureDB,Text: Dalf Vice
CD/COM/ITEM.T/113,Raw,TextureDB,Text: Harris Carvitto
CD/COM/ITEM.T/114,Raw,TextureDB,Text: Teo Gigi Budwell
CD/COM/ITEM.T/115,Raw,TextureDB,Text: Karen Leon Shore
CD/COM/ITEM.T/116,Raw,TextureDB,Text: Base No1
CD/COM/ITEM.T/117,Raw,TextureDB,Text: Base No2
CD/COM/ITEM.T/118,Raw,TextureDB,Text: Base No3
CD/COM/ITEM.T/119,Raw,TextureDB,Text: Base No4
CD/COM/ITEM.T/120,Raw,TextureDB,Text: Base No5
CD/COM/ITEM.T/121,Raw,TextureDB,Text: Base No6
CD/COM/ITEM.T/122,Raw,TextureDB,Text: The Magic Cave Of Ice
CD/COM/ITEM.T/123,Raw,TextureDB,Text: Base No7
CD/COM/ITEM.T/124,Raw,TextureDB,Text: The Entrance To The North Village
CD/COM/ITEM.T/125,Raw,TextureDB,Text: The Entrance To The South Village
CD/COM/ITEM.T/126,Raw,TextureDB,Text: The Space For Completion No Trespassing
CD/COM/ITEM.T/127,Raw,TextureDB,Text: The Entrance To The Central Village
CD/COM/ITEM.T/128,Raw,TextureDB,Text: The Entrance To The Big Mine
CD/COM/ITEM.T/129,Raw,TextureDB,Text: The Underworld Prison No1
CD/COM/ITEM.T/130,Raw,TextureDB,Text: The Underworld Prison No2
CD/COM/ITEM.T/131,Raw,TextureDB,Text: The Cemetery For The Military Guards Of King Harvine III
CD/COM/ITEM.T/132,Raw,TextureDB,Text: Royal Treasure House
CD/COM/ITEM.T/133,Raw,TextureDB,Text: The Magic Cave Of Fire
CD/COM/ITEM.T/134,Raw,TextureDB,Text: Warriors Who Were Killed By Guyras Legion Are Buried Here
CD/COM/ITEM.T/135,Raw,TextureDB,Text: The Souls Of The Guards Who Were Killed Are Waiting To Watch The Next Fight
CD/COM/ITEM.T/136,Raw,TextureDB,Text: The King Of Winds King Harvine III Had Started To Construct His Castle Here
CD/COM/ITEM.T/137,Raw,TextureDB,Text: The Castle Of The Great Ruler Of The Northern Continent King Harvine III
CD/COM/ITEM.T/138,Raw,TextureDB,Text: Danger Ahead
CD/COM/ITEM.T/139,Raw,TextureDB,Text: In The Name Of The Great Mage No One Can Enter This Cave Of Earth Soul
CD/COM/ITEM.T/140,Raw,TextureDB,Text: Galth Free The Demon Of The Darkside Died With The High Elves He Is A Phantom Of The World
CD/COM/ITEM.T/141,Raw,TextureDB,Text: A Message From The East Land Rest In Peace Here
CD/COM/ITEM.T/142,Raw,TextureDB,Text: Most Soldiers Have Already Died There Is No Way To Leave The Island We Realize That There Is No Way Back Home
CD/COM/ITEM.T/143,Raw,TextureDB,Text: In The Name Of Tsedeck The Mage Of Fire Who Defeated King Harvine III And Ruled The Northern Continent
CD/COM/ITEM.T/144,Raw,TextureDB,Text: Gigis House Sandler
CD/COM/ITEM.T/145,Raw,TextureDB,Text: They Can Be Attacked By Bows Take Good Aim
CD/COM/ITEM.T/146,Raw,TextureDB,Text: Do Not Enter Old Hand
CD/COM/ITEM.T/147,Raw,TextureDB,Text: Medical Herbs For Sale Al Hunt
CD/COM/ITEM.T/148,Raw,TextureDB,Text: The South Graveyard To The Small Mine
CD/COM/ITEM.T/149,Raw,TextureDB,Text: Termites Nest Ahead Watch Your Step
CD/COM/ITEM.T/150,Raw,TextureDB,Text: My Beloved Son You Have Fought For Me And Have Lost Your Life For Me May You Rest In Peace
CD/COM/ITEM.T/151,Raw,TextureDB,Text: Do Not Get Closer Krakens Nest
CD/COM/ITEM.T/152,Raw,TextureDB,Text: Dangerous No Exit
CD/COM/ITEM.T/153,Raw,TextureDB,Text: The Elf Cave
CD/COM/ITEM.T/154,Raw,TextureDB,Text: By And By A Man Who Comes Here Beats The Black Dragon With The Blessing Of Seath
CD/COM/ITEM.T/155,Raw,TextureDB,Text: The Cave Of The Darkside This Is Hell
CD/COM/ITEM.T/156,Raw,TextureDB,Text: Offer Everything To Guyra Who Rules The Light And The Dark
CD/COM/ITEM.T/157,Raw,TextureDB,Text: They Are Creating Devils Be Careful
CD/COM/ITEM.T/158,Raw,TextureDB,Text: When The Warriors Stand Up The Great Door Will Be Opened Again
CD/COM/ITEM.T/159,Raw,TextureDB,Text: The Entrance To The Small Mine
CD/COM/ITEM.T/160,Raw,TextureDB,Text: The Poisoned Cave Dangerous
CD/COM/ITEM.T/161,Raw,TextureDB,Text: The Great Demon's Grave
CD/COM/ITEM.T/162,Raw,TextureDB,Text: Earnests Body
CD/COM/ITEM.T/163,Raw,TextureDB,Text: The Picture Of Warriors
CD/COM/ITEM.T/164,Raw,TextureDB,Text: Truth Glass Green Slime
CD/COM/ITEM.T/165,Raw,TextureDB,Text: Truth Glass Poison Slime
CD/COM/ITEM.T/166,Raw,TextureDB,Text: Truth Glass Sigill
CD/COM/ITEM.T/167,Raw,TextureDB,Text: Truth Glass Sigill 2
CD/COM/ITEM.T/168,Raw,TextureDB,Text: Truth Glass Baltail
CD/COM/ITEM.T/169,Raw,TextureDB,Text: Truth Glass Baltail 2
CD/COM/ITEM.T/170,Raw,TextureDB,Text: Truth Glass Poison Baltail
CD/COM/ITEM.T/171,Raw,TextureDB,Text: Truth Glass Poison Baltail 2
CD/COM/ITEM.T/172,Raw,TextureDB,Text: Truth Glass Fire Elemental
CD/COM/ITEM.T/173,Raw,TextureDB,Text: Truth Glass Fire Elemental 2
CD/COM/ITEM.T/174,Raw,TextureDB,Text: Truth Glass Ghosts
CD/COM/ITEM.T/175,Raw,TextureDB,Text: Truth Glass Reiks
CD/COM/ITEM.T/176,Raw,TextureDB,Text: Truth Glass Head Eater
CD/COM/ITEM.T/177,Raw,TextureDB,Text: Truth Glass Mogle
CD/COM/ITEM.T/178,Raw,TextureDB,Text: Truth Glass S-Knight
CD/COM/ITEM.T/179,Raw,TextureDB,Text: Truth Glass Necron's Soldiers
CD/COM/ITEM.T/180,Raw,TextureDB,Text: Truth Glass Archers
CD/COM/ITEM.T/181,Raw,TextureDB,Text: Truth Glass Skeleton
CD/COM/ITEM.T/182,Raw,TextureDB,Text: Truth Glass Termite
CD/COM/ITEM.T/183,Raw,TextureDB,Text: Truth Glass Kald
CD/COM/ITEM.T/184,Raw,TextureDB,Text: Truth Glass Psythe
CD/COM/ITEM.T/185,Raw,TextureDB,Text: Truth Glass Queen Termite
CD/COM/ITEM.T/186,Raw,TextureDB,Text: Truth Glass Freeze Ball
CD/COM/ITEM.T/187,Raw,TextureDB,Text: Truth Glass Log Stalker
CD/COM/ITEM.T/188,Raw,TextureDB,Text: Truth Glass Demon Lord
CD/COM/ITEM.T/189,Raw,TextureDB,Text: Truth Glass Kraken
CD/COM/ITEM.T/190,Raw,TextureDB,Text: Truth Glass Kraken 2
CD/COM/ITEM.T/191,Raw,TextureDB,Text: Truth Glass Earth Elemental
CD/COM/ITEM.T/192,Raw,TextureDB,Text: Truth Glass Refma
CD/COM/ITEM.T/193,Raw,TextureDB,Text: Truth Glass Tarn
CD/COM/ITEM.T/194,Raw,TextureDB,Text: Truth Glass Copper Knight
CD/COM/ITEM.T/195,Raw,TextureDB,Text: Truth Glass Dias Bagil
CD/COM/ITEM.T/196,Raw,TextureDB,Text: Truth Glass Guyra
CD/COM/ITEM.T/197,Raw,TextureDB,Text: Truth Glass Salamander
CD/COM/ITEM.T/198,Raw,TextureDB,Text: Truth Glass Flame Spirit
CD/COM/ITEM.T/199,Raw,TextureDB,Text: Truth Glass Billent
CD/COM/ITEM.T/200,Raw,TextureDB,Text: Truth Glass Skeleton Of One Eyed Giant
CD/COM/ITEM.T/201,Raw,TextureDB,Text: Truth Glass The Picture Of A King
CD/COM/ITEM.T/202,Raw,TextureDB,Text: Truth Glass Mecha Demon Lord
CD/COM/ITEM.T/203,Raw,TextureDB,Text: Truth Glass Mecha Termite
CD/COM/ITEM.T/204,Raw,TextureDB,Text: Truth Glass Mecha Reiks
CD/COM/ITEM.T/205,Raw,TextureDB,Text: Truth Glass Mages Candlesticks
CD/COM/ITEM.T/206,Raw,TextureDB,Text: Truth Glass Bitt
CD/COM/ITEM.T/207,Raw,TextureDB,Text: Truth Glass Refma 2
CD/COM/ITEM.T/208,Raw,TextureDB,Text: Truth Glass Celffy Foss
CD/COM/ITEM.T/209,Raw,TextureDB,Text: Truth Glass Celffy Foss 2
CD/COM/ITEM.T/210,Raw,TextureDB,Text: Truth Glass Raffy Foss
CD/COM/ITEM.T/211,Raw,TextureDB,Text: Truth Glass Jose Harven
CD/COM/ITEM.T/212,Raw,TextureDB,Text: Truth Glass Nola Bagil
CD/COM/ITEM.T/213,Raw,TextureDB,Text: Truth Glass Meryl
CD/COM/ITEM.T/214,Raw,TextureDB,Text: Truth Glass Gigi Budwell
CD/COM/ITEM.T/215,Raw,TextureDB,Text: Truth Glass Gigi Budwell 2
CD/COM/ITEM.T/216,Raw,TextureDB,Text: Truth Glass Teo Budwell
CD/COM/ITEM.T/217,Raw,TextureDB,Text: Truth Glass Teo Budwell 2
CD/COM/ITEM.T/218,Raw,TextureDB,Text: Truth Glass Teo Budwell 3
CD/COM/ITEM.T/219,Raw,TextureDB,Text: Truth Glass Karen Shore
CD/COM/ITEM.T/220,Raw,TextureDB,Text: Truth Glass Leon Shore
CD/COM/ITEM.T/221,Raw,TextureDB,Text: Truth Glass Leon Shore 2
CD/COM/ITEM.T/222,Raw,TextureDB,Text: Truth Glass Al Hunt
CD/COM/ITEM.T/223,Raw,TextureDB,Text: Truth Glass Harris Carvitto
CD/COM/ITEM.T/224,Raw,TextureDB,Text: Truth Glass Fai Fadlin
CD/COM/ITEM.T/225,Raw,TextureDB,Text: Truth Glass Cliff Lore
CD/COM/ITEM.T/226,Raw,TextureDB,Text: Truth Glass Rand Ferrer
CD/COM/ITEM.T/227,Raw,TextureDB,Text: Truth Glass David Tabler
CD/COM/ITEM.T/228,Raw,TextureDB,Text: Truth Glass Dalf Vice
CD/COM/ITEM.T/229,Raw,TextureDB,Text: Truth Glass Radd Bilheim
CD/COM/ITEM.T/230,Raw,TextureDB,Text: Truth Glass Krola Amgun
CD/COM/ITEM.T/231,Raw,TextureDB,Text: Truth Glass Krola Amgun 2
CD/COM/ITEM.T/232,Raw,TextureDB,Text: Truth Glass Sandler Amgun
CD/COM/ITEM.T/233,Raw,TextureDB,Text: Truth Glass Sandler Amgun 2
CD/COM/ITEM.T/234,Raw,TextureDB,Text: Truth Glass Mark Wozz
CD/COM/ITEM.T/235,Raw,TextureDB,Text: Truth Glass Earnest Clyde
CD/COM/ITEM.T/236,Raw,TextureDB,Text: Truth Glass Kehl Hunt
CD/COM/ITEM.T/237,Raw,TextureDB,Text: Truth Glass Kehl Hunt 2
CD/COM/ITEM.T/238,Raw,TextureDB,Text: Truth Glass Karen Shore 2
CD/COM/ITEM.T/239,Raw,TextureDB,Text: Truth Glass The Grave Of A Saint
CD/COM/ITEM.T/240,Raw,TextureDB,Text: Truth Glass Earnest Clyde 2
CD/COM/ITEM.T/241,Raw,TextureDB,Text: Truth Glass Dragon Grass
CD/COM/ITEM.T/242,Raw,TextureDB,Text: Truth Glass Miria
CD/COM/ITEM.T/243,Raw,TextureDB,Text: Meryl Dagger
CD/COM/ITEM.T/244,Raw,TextureDB,Text: Meryl Short Sword
CD/COM/ITEM.T/245,Raw,TextureDB,Text: Meryl Knight Sword
CD/COM/ITEM.T/246,Raw,TextureDB,Text: Meryl Morning Star
CD/COM/ITEM.T/247,Raw,TextureDB,Text: Meryl Battle Hammer
CD/COM/ITEM.T/248,Raw,TextureDB,Text: Meryl Bastard Sword
CD/COM/ITEM.T/249,Raw,TextureDB,Text: Meryl Crescent Axe
CD/COM/ITEM.T/250,Raw,TextureDB,Text: Meryl Flame Sword
CD/COM/ITEM.T/251,Raw,TextureDB,Text: Meryl Shiden
CD/COM/ITEM.T/252,Raw,TextureDB,Text: Meryl Spider
CD/COM/ITEM.T/253,Raw,TextureDB,Text: Meryl Ice Blade
CD/COM/ITEM.T/254,Raw,TextureDB,Text: Meryl Seath's Sword
CD/COM/ITEM.T/255,Raw,TextureDB,Text: Meryl Moonlight Sword
CD/COM/ITEM.T/256,Raw,TextureDB,Text: Meryl Dark Slayer
CD/COM/ITEM.T/257,Raw,TextureDB,Text: Meryl Bow
CD/COM/ITEM.T/258,Raw,TextureDB,Text: Meryl Arbalest
CD/COM/ITEM.T/259,Raw,TextureDB,Text: Meryl Iron Mask
CD/COM/ITEM.T/260,Raw,TextureDB,Text: Meryl Knight Helm
CD/COM/ITEM.T/261,Raw,TextureDB,Text: Meryl Great Helm
CD/COM/ITEM.T/262,Raw,TextureDB,Text: Meryl Blood Crown
CD/COM/ITEM.T/263,Raw,TextureDB,Text: Meryl Lightning Helm
CD/COM/ITEM.T/264,Raw,TextureDB,Text: Meryl Seath's Helm
CD/COM/ITEM.T/265,Raw,TextureDB,Text: Meryl Breast Plate
CD/COM/ITEM.T/266,Raw,TextureDB,Text: Meryl Knight Plate
CD/COM/ITEM.T/267,Raw,TextureDB,Text: Meryl Ice Armor
CD/COM/ITEM.T/268,Raw,TextureDB,Text: Meryl Dark Armor
CD/COM/ITEM.T/269,Raw,TextureDB,Text: Meryl Seath's Armor
CD/COM/ITEM.T/270,Raw,TextureDB,Text: Meryl Leather Shield
CD/COM/ITEM.T/271,Raw,TextureDB,Text: Meryl Large Shield
CD/COM/ITEM.T/272,Raw,TextureDB,Text: Meryl Moon Guard
CD/COM/ITEM.T/273,Raw,TextureDB,Text: Meryl Crystal Guard
CD/COM/ITEM.T/274,Raw,TextureDB,Text: Meryl Skull Shield
CD/COM/ITEM.T/275,Raw,TextureDB,Text: Meryl Seaths Shield
CD/COM/ITEM.T/276,Raw,TextureDB,Text: Meryl Iron Gloves
CD/COM/ITEM.T/277,Raw,TextureDB,Text: Meryl Stone Hands
CD/COM/ITEM.T/278,Raw,TextureDB,Text: Meryl Silver Arms
CD/COM/ITEM.T/279,Raw,TextureDB,Text: Meryl Demon's Hands
CD/COM/ITEM.T/280,Raw,TextureDB,Text: Meryl Ruinous Gloves
CD/COM/ITEM.T/281,Raw,TextureDB,Text: Meryl Iron Boots
CD/COM/ITEM.T/282,Raw,TextureDB,Text: Meryl Leg Guarders
CD/COM/ITEM.T/283,Raw,TextureDB,Text: Meryl Silver Boots
CD/COM/ITEM.T/284,Raw,TextureDB,Text: Meryl Death Walkers
CD/COM/ITEM.T/285,Raw,TextureDB,Text: Meryl Ruinous Boots
CD/COM/ITEM.T/286,Raw,TextureDB,Text: Meryl Scorpion's Bracelet
CD/COM/ITEM.T/287,Raw,TextureDB,Text: Meryl Seath's Tear
CD/COM/ITEM.T/288,Raw,TextureDB,Text: Meryl Seath's Bracelet
CD/COM/ITEM.T/289,Raw,TextureDB,Text: Meryl Earth Ring
CD/COM/ITEM.T/290,Raw,TextureDB,Text: Meryl Psycpros Collar
CD/COM/ITEM.T/291,Raw,TextureDB,Text: Meryl Amulet Of Mist
CD/COM/ITEM.T/292,Raw,TextureDB,Text: Meryl Lightwave Ring
CD/COM/ITEM.T/293,Raw,TextureDB,Text: Meryl Pirate's Map
CD/COM/ITEM.T/294,Raw,TextureDB,Text: Meryl Miner's Map
CD/COM/ITEM.T/295,Raw,TextureDB,Text: Meryl Necron's Map
CD/COM/ITEM.T/296,Raw,TextureDB,Text: Meryl Blood Stone
CD/COM/ITEM.T/297,Raw,TextureDB,Text: Meryl Moon Stone
CD/COM/ITEM.T/298,Raw,TextureDB,Text: Meryl Verdite
CD/COM/ITEM.T/299,Raw,TextureDB,Text: Meryl Earth Herb
CD/COM/ITEM.T/300,Raw,TextureDB,Text: Meryl Antidote
CD/COM/ITEM.T/301,Raw,TextureDB,Text: Meryl Dragon Crystal
CD/COM/ITEM.T/302,Raw,TextureDB,Text: Meryl Blue Potion
CD/COM/ITEM.T/303,Raw,TextureDB,Text: Meryl Red Potion
CD/COM/ITEM.T/304,Raw,TextureDB,Text: Meryl Green Potion
CD/COM/ITEM.T/305,Raw,TextureDB,Text: Meryl Gold Potion
CD/COM/ITEM.T/306,Raw,TextureDB,Text: Meryl Crystal Flask
CD/COM/ITEM.T/307,Raw,TextureDB,Text: Meryl Figure Of Seath
CD/COM/ITEM.T/308,Raw,TextureDB,Text: Meryl Phantom Rod
CD/COM/ITEM.T/309,Raw,TextureDB,Text: Meryl Truth Glass
CD/COM/ITEM.T/310,Raw,TextureDB,Text: Meryl Seath's Plume
CD/COM/ITEM.T/311,Raw,TextureDB,Text: Meryl Demon's Pick
CD/COM/ITEM.T/312,Raw,TextureDB,Text: Meryl Harvine's Flute
CD/COM/ITEM.T/313,Raw,TextureDB,Text: Meryl Ground Bell
